1/1/33, sábado, Confraternização Universal
28/2/33, segunda-feira, Carnaval
1/3/33, terça-feira, Carnaval
15/4/33, sexta-feira, Paixão de Cristo
21/4/33, quinta-feira, Tiradentes
1/5/33, domingo, Dia do Trabalho
16/6/33, quinta-feira, Corpus Christi
7/9/33, quarta-feira, Independência do Brasil
12/10/33, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/33, quarta-feira, Finados
15/11/33, terça-feira, Proclamação da República
25/12/33, domingo, Natal
1/1/34, domingo, Confraternização Universal
20/2/34, segunda-feira, Carnaval
21/2/34, terça-feira, Carnaval
7/4/34, sexta-feira, Paixão de Cristo
21/4/34, sexta-feira, Tiradentes
1/5/34, segunda-feira, Dia do Trabalho
8/6/34, quinta-feira, Corpus Christi
7/9/34, quinta-feira, Independência do Brasil
12/10/34, quinta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/34, quinta-feira, Finados
15/11/34, quarta-feira, Proclamação da República
25/12/34, segunda-feira, Natal
1/1/35, segunda-feira, Confraternização Universal
5/2/35, segunda-feira, Carnaval
6/2/35, terça-feira, Carnaval
23/3/35, sexta-feira, Paixão de Cristo
21/4/35, sábado, Tiradentes
1/5/35, terça-feira, Dia do Trabalho
24/5/35, quinta-feira, Corpus Christi
7/9/35, sexta-feira, Independência do Brasil
12/10/35, sexta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/35, sexta-feira, Finados
15/11/35, quinta-feira, Proclamação da República
25/12/35,terça-feira,Natal 
1/1/36, terça-feira,Confraternização Universal
25/2/36, segunda-feira, Carnaval
26/2/36, terça-feira, Carnaval
11/4/36, sexta-feira, Paixão de Cristo
21/4/36, segunda-feira, Tiradentes
1/5/36, quinta-feira, Dia do Trabalho
12/6/36, quinta-feira, Corpus Christi
7/9/36, domingo, Independência do Brasil
12/10/36, domingo, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/36, domingo, Finados
15/11/36, sábado, Proclamação da República
25/12/36, quinta-feira, Natal
1/1/37, quinta-feira, Confraternização Universal
16/2/37, segunda-feira, Carnaval
17/2/37, terça-feira, Carnaval
3/4/37, sexta-feira, Paixão de Cristo
21/4/37, terça-feira, Tiradentes
1/5/37, sexta-feira, Dia do Trabalho
4/6/37, quinta-feira, Corpus Christi
7/9/37, segunda-feira, Independência do Brasil
12/10/37, segunda-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/37, segunda-feira, Finados
15/11/37, domingo, Proclamação da República
25/12/37, sexta-feira, Natal
1/1/38, sexta-feira, Confraternização Universal
8/3/38, segunda-feira, Carnaval
9/3/38, terça-feira, Carnaval
21/4/38, quarta-feira, Tiradentes
23/4/38, sexta-feira, Paixão de Cristo
1/5/38, sábado, Dia do Trabalho
24/6/38, quinta-feira, Corpus Christi
7/9/38, terça-feira, Independência do Brasil
12/10/38, terça-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/38, terça-feira, Finados
15/11/38, segunda-feira, Proclamação da República
25/12/38, sábado, Natal
1/1/39, sábado, Confraternização Universal
21/2/39, segunda-feira, Carnaval
22/2/39, terça-feira, Carnaval
8/4/39, sexta-feira, Paixão de Cristo
21/4/39, quinta-feira, Tiradentes
1/5/39, domingo, Dia do Trabalho
9/6/39, quinta-feira, Corpus Christi
7/9/39, quarta-feira, Independência do Brasil
12/10/39, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/39, quarta-feira, Finados
15/11/39, terça-feira, Proclamação da República
25/12/39, domingo, Natal
1/1/40, domingo, Confraternização Universal
13/2/40, segunda-feira, Carnaval
