14/2/78, segunda-feira, Carnaval
15/2/78, terça-feira, Carnaval
1/4/78, sexta-feira, Paixão de Cristo
21/4/78, quinta-feira, Tiradentes
1/5/78, domingo, Dia do Trabalho
2/6/78, quinta-feira, Corpus Christi
7/9/78, quarta-feira, Independência do Brasil
12/10/78, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/78, quarta-feira, Finados
15/11/78, terça-feira, Proclamação da República
25/12/78, domingo, Natal

 
 



 
 
 

 
 

 
 
 
 
 
 

 
